City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atafu Village,-8.5421,-172.5159,83.05,71,57,4.76,TK,1685142956
Aromashevo,56.8602,68.6375,52.34,61,50,3.94,RU,1685142956
Sitka,57.0531,-135.33,49.89,76,75,12.66,US,1685142956
Chonchi,-42.6128,-73.8092,38.41,89,7,2.73,CL,1685142957
Konongo,6.6167,-1.2167,74.8,98,78,3.36,GH,1685142957
Nogliki,51.8333,143.1667,49.32,79,100,0.63,RU,1685142957
Fort St. John,56.2499,-120.8529,78.69,27,40,8.05,CA,1685142957
Talnakh,69.4865,88.3972,40.21,85,80,9.89,RU,1685142958
Whitehorse,60.7161,-135.0538,54.81,30,75,24.0,CA,1685142958
North Bondi,-33.8824,151.2769,52.9,69,20,14.97,AU,1685142958
Puerto Natales,-51.7236,-72.4875,37.02,75,88,14.32,CL,1685142958
Punta Arenas,-53.15,-70.9167,37.51,70,75,10.36,CL,1685142959
Santoña,43.4439,-3.4576,66.7,82,91,6.2,ES,1685142959
Salym,60.0625,71.4789,54.86,55,100,4.43,RU,1685142959
Katsina-Ala,7.1667,9.2833,81.1,77,36,8.16,NG,1685142959
Taroa,8.7058,171.2275,80.04,76,100,13.53,MH,1685142959
Susuman,62.7833,148.1667,41.54,58,10,6.71,RU,1685142960
Jasrasar,28.298,74.8093,77.34,70,85,18.57,IN,1685142960
Akureyri,65.6835,-18.0878,46.33,61,75,10.36,IS,1685142726
Siavonga,-16.5382,28.7088,69.28,57,0,4.47,ZM,1685142960
Fairfield,41.2668,-73.3162,70.56,35,0,11.5,US,1685142705
Jamestown,42.097,-79.2353,66.52,39,0,14.97,US,1685142766
Horta,38.5333,-28.6333,63.01,81,15,11.01,PT,1685142961
Fort Bragg,35.139,-79.006,66.34,44,40,16.11,US,1685142664
Kingston,17.997,-76.7936,85.24,79,18,4.25,JM,1685142693
Itoman,26.1247,127.6694,75.22,94,75,17.27,JP,1685142961
Yellowknife,62.456,-114.3525,70.32,35,40,8.99,CA,1685142962
Carnarvon,-24.8667,113.6333,65.35,42,100,14.05,AU,1685142675
Port Alfred,-33.5906,26.891,55.26,70,3,5.93,ZA,1685142962
Bodaybo,57.8506,114.1933,46.51,57,100,3.83,RU,1685142962
Uturoa,-16.7333,-151.4333,81.64,73,25,15.84,PF,1685142963
Vilyuysk,63.7553,121.6247,44.42,54,65,8.61,RU,1685142963
Tamanghasset,22.785,5.5228,75.11,6,0,11.5,DZ,1685142963
Chūru,28.3,74.95,77.47,69,96,19.28,IN,1685142963
Port Elizabeth,-33.918,25.5701,49.32,90,0,4.61,ZA,1685142964
Port Moresby,-9.4431,147.1797,78.22,89,75,17.27,PG,1685142964
Pisco,-13.7,-76.2167,71.65,64,0,14.97,PE,1685142875
Khoyniki,51.8911,29.9552,56.23,96,99,5.06,BY,1685142964
Dickinson,29.4608,-95.0513,90.01,47,0,6.91,US,1685142964
Margate,51.3813,1.3862,52.9,82,14,8.99,GB,1685142965
Fort Lupton,40.0847,-104.813,66.94,81,60,5.01,US,1685142965
Caraballeda,10.6112,-66.8522,84.36,84,93,6.91,VE,1685142965
Abomey,7.1829,1.9912,76.53,93,29,6.76,BJ,1685142965
Camiri,-20.05,-63.5167,71.37,76,66,1.63,BO,1685142965
Ushuaia,-54.8,-68.3,35.26,87,40,31.07,AR,1685142685
Choyr,46.3611,108.3611,45.07,55,79,21.85,MN,1685142966
Altinho,-8.4897,-36.0594,69.06,98,23,3.06,BR,1685142966
Mossamedes,-15.1961,12.1522,66.97,80,0,7.38,AO,1685142966
Bilibino,68.0546,166.4372,51.6,25,100,7.38,RU,1685142967
Sorsk,54.0033,90.2467,36.97,99,100,4.38,RU,1685142967
Nieuw Amsterdam,5.8833,-55.0833,77.02,94,40,0.0,SR,1685142967
Lenzkirch,47.8683,8.2021,54.66,81,1,4.72,DE,1685142967
Labrador City,52.9463,-66.9114,57.11,35,75,11.5,CA,1685142967
Korla,41.7597,86.1469,63.77,42,96,11.36,CN,1685142968
Shimoda,34.6667,138.95,72.1,67,99,2.33,JP,1685142968
Chayan,43.0297,69.3772,63.28,27,0,6.98,KZ,1685142968
San Agustín de Valle Fértil,-30.6335,-67.4682,62.69,57,1,5.79,AR,1685142968
Kununurra,-15.7667,128.7333,69.78,43,10,8.05,AU,1685142699
Amga,60.8953,131.9608,50.25,55,3,5.73,RU,1685142969
Broken Hill,-31.95,141.4333,51.04,68,74,7.05,AU,1685142969
Nizhneudinsk,54.9076,99.0276,39.78,92,88,0.29,RU,1685142969
Banda Aceh,5.5577,95.3222,79.86,80,77,10.67,ID,1685142970
Utrik,11.2278,169.8474,79.66,77,100,17.4,MH,1685142970
Longyearbyen,78.2186,15.6401,28.24,69,20,11.5,SJ,1685142970
East Ballina,-28.8667,153.5833,58.44,69,94,15.66,AU,1685142970
Sydney,-33.8679,151.2073,53.28,70,20,14.97,AU,1685142690
Maceió,-9.6658,-35.7353,76.44,94,75,2.3,BR,1685142747
Stanley,54.868,-1.6985,53.53,90,82,4.32,GB,1685142971
Lorengau,-2.0226,147.2712,82.58,80,61,5.82,PG,1685142971
Udachny,66.4167,112.4,37.45,86,100,9.64,RU,1685142971
Cabedelo,-6.9811,-34.8339,79.47,83,59,11.52,BR,1685142972
Geraldton,-28.7667,114.6,50.41,62,100,10.36,AU,1685142972
Anadyr,64.75,177.4833,39.7,80,75,15.66,RU,1685142972
Umm Kaddadah,13.6017,26.6876,93.49,18,47,8.3,SD,1685142972
Pakokku,21.3333,95.1,84.13,64,6,8.99,MM,1685142972
Peniche,39.3558,-9.3811,64.29,86,76,8.19,PT,1685142973
Praia da Vitória,38.7333,-27.0667,64.65,82,75,12.57,PT,1685142973
Traverse City,44.7631,-85.6206,68.99,31,75,9.22,US,1685142367
Manokwari,-0.8667,134.0833,79.83,69,83,4.52,ID,1685142973
Vorgashor,67.5833,63.95,59.38,81,98,13.09,RU,1685142974
Vilyuchinsk,52.9306,158.4028,55.67,63,100,4.79,RU,1685142974
Mwene-Ditu,-7.0,23.45,72.5,52,73,3.78,CD,1685142974
Puerto Ayora,-0.7393,-90.3518,79.56,90,71,5.01,EC,1685142735
Tazacorte,28.629,-17.9293,67.17,79,0,8.01,ES,1685142974
Strugi Krasnye,58.2675,29.1114,40.69,88,42,4.63,RU,1685142975
Buenaventura,3.8801,-77.0312,82.51,83,75,0.0,CO,1685142975
Bichura,50.5881,107.6022,41.9,60,74,3.36,RU,1685142975
Coahuayana de Hidalgo,18.7,-103.6583,88.43,53,30,7.38,MX,1685142975
Isangel,-19.55,169.2667,78.91,65,40,0.0,VU,1685142976
Margaret River,-33.95,115.0667,54.52,73,75,0.58,AU,1685142976
Daru,-9.0763,143.2092,78.3,88,100,13.2,PG,1685142976
Yuzhno-Kurilsk,44.0306,145.8556,53.11,89,99,15.19,RU,1685142976
Sauðarkrokur,65.7461,-19.6394,39.51,94,93,17.58,IS,1685142976
Heihe,50.2441,127.4902,55.98,33,5,17.63,CN,1685142977
Ebaye,8.7748,167.7392,84.22,74,0,16.11,MH,1685142977
Viedma,-40.8135,-62.9967,45.9,33,28,8.39,AR,1685142875
Khangarh,29.9173,71.1618,80.67,55,0,10.45,PK,1685142977
Hawaiian Paradise Park,19.5933,-154.9731,78.31,80,75,5.75,US,1685142978
Xiaolingwei,32.0333,118.85,73.38,91,85,8.03,CN,1685142978
Luang Prabang,19.8856,102.1347,73.13,98,79,0.78,LA,1685142978
Tôlanaro,-25.0319,46.9987,67.59,89,29,11.03,MG,1685142978
Weno,7.4515,151.8468,85.95,84,100,5.75,FM,1685142978
Wharton,29.3116,-96.1027,91.69,58,100,5.75,US,1685142979
Flying Fish Cove,-10.4217,105.6791,78.48,88,75,11.5,CX,1685142979
Kitgum,3.2783,32.8867,66.04,94,82,4.18,UG,1685142979
Shanting,35.0753,117.4578,65.95,92,100,9.1,CN,1685142979
Codajás,-3.8367,-62.0569,75.74,95,87,3.4,BR,1685142980
Port Lincoln,-34.7333,135.8667,58.51,69,97,12.12,AU,1685142980
Kavaratti,10.5669,72.642,84.85,73,12,8.84,IN,1685142980
Howrah,22.5892,88.3103,77.0,83,20,6.91,IN,1685142980
Lagan,45.3929,47.3707,70.56,71,68,5.44,RU,1685142980
Bakchar,57.0186,82.0711,39.61,69,32,4.23,RU,1685142981
Talara,-4.5772,-81.2719,79.56,78,0,16.11,PE,1685142981
Maydanshakhr,34.3956,68.8662,50.94,33,0,2.95,AF,1685142981
Trincomalee,8.5711,81.2335,81.9,81,1,16.78,LK,1685142981
Elliot Lake,46.3834,-82.6331,64.29,44,27,7.54,CA,1685142982
Post Falls,47.718,-116.9516,77.76,41,40,5.01,US,1685142982
Baraboo,43.4711,-89.7443,75.54,22,0,8.05,US,1685142982
Hithadhoo,-0.6,73.0833,82.09,74,97,9.64,MV,1685142982
Masallātah,32.6167,14.0,62.8,81,11,8.3,LY,1685142982
Mbalmayo,3.5167,11.5,70.3,100,99,3.98,CM,1685142983
Ji’an,27.1172,114.9793,79.93,83,39,5.53,CN,1685142983
Ukhta,63.5671,53.6835,56.01,94,94,4.32,RU,1685142983
Rosalie,15.3667,-61.2667,81.3,85,97,11.43,DM,1685142984
Port Sudan,19.6175,37.2164,84.94,72,0,4.05,SD,1685142984
Soe,-9.8607,124.284,63.66,81,46,4.7,ID,1685142984
Egilsstadir,65.2653,-14.3948,46.31,71,40,8.05,IS,1685142984
Hadibu,12.65,54.0333,84.87,74,31,7.07,YE,1685142985
Ancud,-41.8697,-73.8203,43.48,72,25,6.35,CL,1685142985
Enewetak,11.3474,162.3373,82.06,78,97,15.32,MH,1685142985
Charata,-27.2144,-61.188,77.95,79,73,4.61,AR,1685142985
Port Mathurin,-19.6833,63.4167,77.18,75,25,21.12,MU,1685142986
Tindouf,27.6711,-8.1474,70.25,40,40,16.11,DZ,1685142986
Acolla,-11.7319,-75.5463,49.62,80,97,5.95,PE,1685142986
Tympaki,35.0729,24.7685,66.16,84,99,1.99,GR,1685142986
Sinabang,2.4803,96.3801,79.41,83,94,5.23,ID,1685142987
Kāmalāpuram,14.5833,78.65,87.24,44,29,11.27,IN,1685142987
Yima,34.7381,111.8839,61.03,94,100,5.1,CN,1685142987
Aspen,39.1911,-106.8175,65.64,20,75,8.05,US,1685142700
Tooele,40.5308,-112.2983,68.86,38,62,5.01,US,1685142988
Burlington,39.8835,-74.6413,74.79,38,0,10.36,US,1685142988
Okhotsk,59.3833,143.3,44.8,64,89,3.47,RU,1685142988
Avarua,-21.2078,-159.775,73.45,78,97,9.22,CK,1685142988
Akhalts'ikhe,41.639,42.9826,52.81,89,54,2.71,GE,1685142988
Calchaquí,-29.8877,-60.287,71.87,82,50,10.16,AR,1685142989
Santa Croce Camerina,36.8289,14.5268,58.68,88,20,4.61,IT,1685142989
Bardai,11.65,7.2333,79.92,63,100,11.7,NG,1685142989
Gadzhiyevo,69.2551,33.3362,39.99,72,100,17.27,RU,1685142989
Kralendijk,12.15,-68.2667,82.38,83,20,18.41,BQ,1685142968
Beipiao,41.7919,120.7792,63.82,64,100,10.38,CN,1685142990
Prachuap Khiri Khan,12.2167,99.75,77.63,76,11,8.81,TH,1685142990
Loíza,18.4313,-65.8802,84.16,81,40,3.44,PR,1685142991
Faya-Largeau,17.9257,19.1043,93.9,10,0,1.1,TD,1685142991
Hīrna,9.2167,41.1,61.32,91,93,8.25,ET,1685142991
Salekhard,66.53,66.6019,61.7,73,100,10.85,RU,1685142991
Gobō,33.8833,135.15,70.83,73,100,2.84,JP,1685142991
Trujillo,-8.116,-79.03,73.36,83,61,10.36,PE,1685142852
Terrace,54.5163,-128.6035,69.71,45,75,5.75,CA,1685142721
Eureka,40.8021,-124.1637,62.2,80,66,8.01,US,1685142938
Ţubarjal,30.4999,38.216,77.56,21,94,6.46,SA,1685142992
Namdrik,5.5994,168.1028,81.41,81,100,19.44,MH,1685142993
Arawa,-6.2132,155.5367,83.8,77,84,4.88,PG,1685142993
Koné,-21.0595,164.8658,70.16,74,91,0.85,NC,1685142993
Constanța,44.1833,28.65,59.7,90,62,4.27,RO,1685142993
Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,50,75,6.71,RU,1685142993
Juneau,58.3019,-134.4197,52.21,92,100,19.57,US,1685142994
Sheridan,44.8333,-106.9173,71.31,62,20,11.5,US,1685142764
Lompoc,34.6391,-120.4579,73.69,69,0,13.0,US,1685142994
Sydney Mines,46.2367,-60.2177,47.43,85,100,8.99,CA,1685142698
Yuanping,38.7153,112.7575,56.07,86,100,1.95,CN,1685142994
Saimbeyli,37.9863,36.0906,54.28,91,18,4.85,TR,1685142995
Touros,-5.1989,-35.4608,79.63,80,100,11.56,BR,1685142991
Tomatlán,19.9333,-105.25,90.18,38,87,9.82,MX,1685142995
Mocímboa,-11.3167,40.35,72.46,82,7,5.88,MZ,1685142996
Madang,-5.2246,145.7966,80.62,77,98,2.17,PG,1685142996
Island Harbour,50.724,-1.2758,53.92,79,10,7.0,GB,1685142996
Jayapura,-2.5333,140.7,83.59,93,100,6.96,ID,1685142996
Howard Springs,-12.497,131.047,75.11,51,78,10.47,AU,1685142996
Felixstowe,51.9637,1.3511,51.82,84,12,3.0,GB,1685142997
Elko,41.0002,-115.5012,46.42,38,62,19.84,US,1685142963
Shangzhi,45.2167,127.9667,60.62,44,99,2.86,CN,1685142997
Taltal,-25.4,-70.4833,66.58,66,100,3.78,CL,1685142997
Nānākuli,21.3906,-158.1547,84.15,53,40,12.66,US,1685142998
Orkney,-26.9802,26.6727,51.3,27,100,3.56,ZA,1685142928
Nikolayevsk-on-Amur,53.1406,140.73,43.23,91,100,3.78,RU,1685142998
Alofi,-19.0595,-169.9187,78.69,69,100,12.66,NU,1685142998
Preobrazheniye,42.9019,133.9064,61.11,68,64,8.95,RU,1685142998
Lyubim,58.3625,40.6843,56.52,87,89,3.62,RU,1685142999
Annau,37.8876,58.516,74.7,27,75,4.61,TM,1685142999
Qaraūyl,48.9451,79.255,46.89,56,21,3.71,KZ,1685142999
Nārāyanpet,16.7333,77.5,87.21,41,0,16.78,IN,1685142999
Lebu,-37.6167,-73.65,49.59,76,99,8.79,CL,1685143000
Hakodate,41.7758,140.7367,61.11,88,75,12.66,JP,1685142928
Fortuna,40.5982,-124.1573,61.93,82,20,16.11,US,1685143000
Bamboo Flat,11.7,92.7167,83.01,77,16,7.94,IN,1685143000
Tchin Tabaradèn,15.8969,5.7985,91.98,16,38,11.43,NE,1685143001
Crane,31.3974,-102.3501,81.97,52,91,21.85,US,1685143001
Saint-Philippe,-21.3585,55.7679,69.39,86,100,9.8,RE,1685143001
Praia,14.9215,-23.5087,73.94,83,20,23.02,CV,1685143001
Igarka,67.4667,86.5833,42.28,83,30,9.33,RU,1685143001
Kolokani,13.5728,-8.0339,92.1,23,56,7.0,ML,1685143002
Acaraú,-2.8856,-40.12,78.33,87,97,11.27,BR,1685143002
Ankang,32.68,109.0172,66.34,97,100,2.04,CN,1685143002
Dagumba-an,8.1531,124.5908,71.85,95,99,1.81,PH,1685143002
Ghat,24.9647,10.1728,77.23,18,35,10.27,LY,1685143003
Al Ghayzah,16.2079,52.176,84.15,70,81,6.91,YE,1685143003
San Patricio,28.017,-97.5169,86.16,56,93,10.51,US,1685143003
Thaba-Tseka,-29.522,28.6084,39.07,36,98,4.47,LS,1685143003
Ntungamo,-0.8833,29.65,63.77,89,100,3.8,UG,1685143003
Khovd,48.0056,91.6419,42.49,79,13,1.25,MN,1685143004
Satipo,-11.2522,-74.6386,71.8,93,57,2.57,PE,1685143004
Kailua-Kona,19.6406,-155.9956,82.36,74,20,10.36,US,1685142862
Archangelos,36.2149,28.1149,66.31,85,98,2.91,GR,1685143004
Ghadames,30.1337,9.5007,69.17,49,30,14.52,LY,1685143005
Suez,29.9737,32.5263,78.98,31,19,6.98,EG,1685143005
Yegor'yevsk,55.3783,39.0411,60.19,72,84,4.0,RU,1685143005
Buinsk,54.95,48.2833,65.8,53,85,13.65,RU,1685143005
Sorbhog,26.5,90.8667,70.86,91,53,3.76,IN,1685143006
Nguigmi,14.2495,13.1092,87.28,37,24,4.07,NE,1685143006
Lobujya,27.95,86.8167,23.7,98,99,4.92,NP,1685143006
Piaçabuçu,-10.4056,-36.4344,75.7,89,27,7.29,BR,1685143006
Qaqortoq,60.7167,-46.0333,34.38,88,100,0.13,GL,1685143006
Grand Falls-Windsor,48.9332,-55.6649,45.5,91,100,4.25,CA,1685143007
Chake Chake,-5.2459,39.7666,76.32,76,14,8.93,TZ,1685143007
Ta`ū,-14.2336,-169.5144,82.74,75,45,14.25,AS,1685143007
Christchurch,-43.5333,172.6333,63.41,52,75,5.75,NZ,1685143007
Rio Grande,-32.035,-52.0986,68.11,99,100,3.58,BR,1685142818
Laojunmiao,39.8333,97.7333,52.65,25,100,1.59,CN,1685143008
Sarai,53.7458,41.0213,56.05,82,53,7.07,RU,1685143008
Iecava,56.5986,24.2022,48.78,72,3,8.41,LV,1685143008
Inaruwa,26.6011,87.1488,75.56,76,63,2.89,NP,1685143008
Dudinka,69.4058,86.1778,40.62,86,93,15.84,RU,1685143009
Fuerte Olimpo,-21.0415,-57.8738,89.83,38,86,9.73,PY,1685143009
Quibdó,5.6947,-76.6611,77.13,95,100,2.39,CO,1685143009
Fomboni,-12.28,43.7425,79.47,65,0,6.71,KM,1685143009
Wasco,35.5941,-119.341,83.43,38,0,0.0,US,1685143010
Mar del Plata,-38.0023,-57.5575,57.22,68,0,11.5,AR,1685143010
Pariaman,-0.619,100.12,75.25,85,100,1.97,ID,1685143010
Lianjiang,21.6467,110.2817,78.71,91,47,9.51,CN,1685143010
Yekaterinoslavka,50.3734,129.1139,54.95,40,47,14.43,RU,1685143010
Mili,6.0815,171.735,82.09,78,100,12.71,MH,1685143011
Marquette,46.5333,-87.6335,75.78,31,59,3.91,US,1685143011
Katsuren-haebaru,26.3369,127.8719,75.22,88,100,8.05,JP,1685143011
Kaa-Khem,51.6833,94.7333,40.91,68,30,2.28,RU,1685143011
Gyangze,28.95,89.6333,35.26,57,72,4.79,CN,1685143011
Antsiranana,-12.2787,49.2917,75.27,80,6,15.1,MG,1685143012
Chimbote,-9.0853,-78.5783,73.33,79,45,12.37,PE,1685142878
Talcahuano,-36.7167,-73.1167,51.48,76,0,4.61,CL,1685143012
Glace Bay,46.1969,-59.957,46.89,86,75,12.66,CA,1685143012
Kayenta,36.7278,-110.2546,75.31,10,0,17.16,US,1685143013
Cascais,38.6979,-9.4215,65.52,93,99,17.0,PT,1685143013
Lüderitz,-26.6481,15.1594,53.78,58,45,10.22,NA,1685143013
Brookings,44.3114,-96.7984,80.94,21,0,16.11,US,1685143013
Port Saint John's,-31.6229,29.5448,58.57,53,53,6.44,ZA,1685143014
Zaragoza,41.6561,-0.8773,68.02,59,0,5.75,ES,1685142477
Afaahiti,-17.75,-149.2833,84.07,76,77,14.07,PF,1685143014
Princeville,45.7668,-61.2985,43.66,92,100,16.11,CA,1685143019
Iskateley,67.6803,53.1512,46.26,64,21,15.43,RU,1685143020
El Dorado,38.7666,-120.5177,71.92,62,36,1.01,US,1685142913
Novo Aripuanã,-5.1206,-60.3797,79.48,82,91,1.61,BR,1685143020
Szombathely,47.2309,16.6216,56.05,73,2,15.41,HU,1685143020
São Vicente,-23.9631,-46.3919,81.27,26,71,3.11,BR,1685142769
Holualoa,19.6228,-155.9522,78.64,78,20,10.36,US,1685143021
Beledweyne,4.7358,45.2036,77.7,73,73,16.08,SO,1685143021
Nyurba,63.2842,118.3319,45.19,54,27,6.89,RU,1685143021
Tapes,-30.6733,-51.3958,69.48,80,93,6.11,BR,1685143021
Mumford,5.2618,-0.759,81.5,83,96,10.2,GH,1685143022
Aliade,7.2964,8.487,79.9,81,29,8.16,NG,1685143022
Hammerfest,70.6634,23.6821,34.25,93,75,23.02,NO,1685143022
Zhangaözen,43.3,52.8,75.52,23,97,20.62,KZ,1685143022
Vila Franca do Campo,37.7167,-25.4333,63.01,86,72,7.45,PT,1685143023
Placer,39.0666,-120.7677,69.39,59,52,1.01,US,1685143023
Teodoro Sampaio,-22.5325,-52.1675,68.14,73,7,5.84,BR,1685143023
Agadir,30.4202,-9.5982,66.65,86,3,5.14,MA,1685143023
Neryungri,56.6709,124.6491,41.85,74,100,16.53,RU,1685143023
Chibougamau,49.9168,-74.3659,56.82,44,100,6.91,CA,1685143024
Antofagasta,-23.65,-70.4,61.88,79,100,5.03,CL,1685143024
Saynshand,44.8824,110.1163,58.95,27,100,21.85,MN,1685143024
Cabo San Lucas,22.8909,-109.9124,92.5,50,75,19.57,MX,1685142787
Gobabis,-22.45,18.9667,56.8,42,100,12.1,NA,1685143025
Thunder Bay,48.4001,-89.3168,76.98,23,20,9.22,CA,1685142867
Rémire-Montjoly,4.9167,-52.2667,77.04,100,75,0.0,GF,1685143025
Wynyard,-41.0,145.7167,48.97,79,93,11.86,AU,1685143025
Nueva Gerona,21.8833,-82.8,84.7,56,26,10.27,CU,1685143026
Kizil-Arvat,38.9764,56.2757,80.67,16,99,7.54,TM,1685143026
Luganville,-15.5333,167.1667,79.39,54,16,4.99,VU,1685143026
Yerofey Pavlovich,53.9667,121.9667,40.35,96,100,6.35,RU,1685143026
I-n-Salah,27.1935,2.4607,86.23,14,100,9.06,DZ,1685143027
Borogontsy,62.6683,131.1683,46.56,45,37,5.68,RU,1685143027
Bargaal,11.2864,51.0773,82.78,80,55,10.4,SO,1685143027
Naryan-Mar,67.6713,53.087,46.22,64,20,15.46,RU,1685143027
Pyapon,16.2833,95.6833,82.08,76,2,6.93,MM,1685143028
Olinda,-8.0089,-34.8553,80.33,78,20,5.75,BR,1685143028
Doğanhisar,38.1463,31.6765,53.15,74,7,2.51,TR,1685143028
Atasū,48.6814,71.6433,54.25,63,29,11.48,KZ,1685143028
Nadi,-17.8,177.4167,82.4,42,20,2.3,FJ,1685143028
Marand,38.4329,45.7749,58.08,71,2,2.24,IR,1685143029
Cidreira,-30.1811,-50.2056,70.97,84,67,11.79,BR,1685143029
Suva,-18.1416,178.4415,80.08,61,20,5.75,FJ,1685143029
Claveria,18.6074,121.0832,80.91,72,45,10.13,PH,1685143029
Porto Murtinho,-21.6989,-57.8825,84.81,46,83,6.13,BR,1685142774
